name,type,zone,value
ptps_upper_08,fa_limit,SAKW1-2,0.00453306451612903
ptps_lower_09,fa_limit,SAKW1-2,0.0153461538461538
ptps_upper_09,fa_limit,SAKW1-2,0.037457206790123
ptps_lower_10,fa_limit,SAKW1-2,0.188844391495599
ptps_upper_10,fa_limit,SAKW1-2,0.241531794871795
ptps_lower_11,fa_limit,SAKW1-2,0.498401988636365
ptps_upper_11,fa_limit,SAKW1-2,0.653027692307693
ptps_lower_12,fa_limit,SAKW1-2,0.698940340909091
ptps_upper_12,fa_limit,SAKW1-2,0.866898717948718
pxtemp,snow,SAKW1-1,1.0
talr,snow,SAKW1-1,-0.65
pxtemp,snow,SAKW1-2,1.0
talr,snow,SAKW1-2,-0.65
